тема,тип вопроса,условие,варианты ответа,ответ,класс
рынки,4,"Страна Альфа –– малая открытая экономика. Функция внутреннего спроса на рын ке пармезана в стране Альфа описывается уравнением Q= 80−P. Функция внутренне го предложения линейна, причем ее график выходит из начала координат и не совпадает с осью Q. Изначально мировая цена пармезана равна 40. После того, как она
 выросла до 60, количество пармезана, пересекающее границу страны Альфа, не изме нилось. Найдите это количество.",---------,16,10
кпв,1,"В настоящий момент в экономике производится 9 единиц товара X; использо вание ресурсов полное и эффективное. Альтернативная стоимость единицы товара X
 постоянна и составляет 0,5 единицы товара Y. Значит, ради производства дополни тельных 4 единиц товара Y придётся отказаться от 8 единиц товара X.","1) да, 2) нет",1),9
другое,1,Все экономические исследования предполагают рациональность агентов.,"1) да, 2) нет",2),9
кпв,1,"Если у страны есть абсолютное преимущество в производстве некоторого блага, она будет экспортировать это благо.","1) да, 2) нет",2),9
рынки,1,"На рынке олигополии может производиться как однородный, так и дифференцированный товар.","1) да, 2) нет",1),9
анализ данных,1,"Одно исследование показало, что люди, прошедшие после увольнения программы повышения квалификации, в среднем зарабатывают больше, чем те, кто их не проходил. Из этого можно сделать вывод о том, что прохождение программ повышения квалификации увеличивает зарплату работников","1) да, 2) нет",2),9
нобелевская премия,2,2020 году лауреатами Нобелевской премии по экономике (Премии Шведского государственного банка по экономическим наукам памяти А. Нобеля) стали Пол Милгром и Роберт Уилсон. За какие заслуги была присуждена премия?,1) разработка оптимального дизайна выборов и голосований; 2) оценка многомерной КПВ мира; 3) анализ эффективности мер по борьбе с коррупцией; 4) усовершенствование теории аукционов.,4),9
неравенство,2,"В некоторой стране кривая Лоренца имеет вид у = х^3 . Каково соотношение доходов беднейшей трети, «средней» трети, и богатейшей трети населения?",1) 1:7:19; 2) 1:8:27; 3) 1:7:100; 4) 1:8:100.,1),9
ввп и инфляция,2,"В одной стране уровень инфляции каждый год составляет 200 %. Пусть p(t) –– уровень цен в конце года t, год t = 0 принят базовым. Тогда:","1)p(t)= 2^p; 2)p(t)= 3^t
 ; 3p(t)= 2t; 4)p(t)= 3t",2),9
финансы,2,"Бескупонные облигации фирм А и B имеют срок погашения один год. Доходность облигаций одинакова. Цена облигации А равна 4, номинал облигации B равен 10. Если цена облигации B на 60 % больше, чем номинал облигации А, чему равна доходность этих облигаций?",1) 20 %; 2) 25 %; 3) 50 %; 4) 60 %.,2),9
издержки,2,редельные издержки некой фирмы задаются уравнением MC = 2Q; выпуск фирмы может быть только целым числом. Чему равна величина AVC(2020) –– средние переменные издержки при производстве 2020 единиц товара?,1) 2019; 2) 2020; 3) 2021; 4) 4040.,3),9
финансы,3,Что не является производным финансовым инструментом (деривативом),1) опцион; 2) форвард; 3) фьючерс; 4) государственная облигация,4),9
совершенная конкуренция,3,Рассмотрим совершенно конкурентный рынок с функциями спроса и предложения соответственно Qd = 90 − P и Qs= P/2. На рынке вводится потоварный налог на производителей. Что из перечисленного верно?,"1) Равновесный выпуск сократится;
 2) При ставке налога t< 45 выпуск сократится менее чем в два раза;
 3) При ставке налога t равновесная цена, уплачиваемая потребителями, вырастет на t;
 4) Расходы потребителей могут увеличиться.","1), 2)",9
кпв,3,"Какой вид может иметь КПВ страны, если в случае выхода на мировой рынок в качестве малой открытой экономики ее КТВ (кривая торговых возможностей) определяется как у= 40 − 2х? Считайте, что международная торговля абсолютно свободна, т.е. происходит без таможенных пошлин, издержек на транспортировку и т.д.",1) у = 48 - 4х; 2) y = 40 - 4x; 3) y = 20 - x; 4) y= 16 - x,"2), 3)",9
рынки,3,"Товары 1 и 2 являются субститутами, а товары 2 и 3 –– комплементами. Товар 3 при этом не является комплементом или субститутом к товару 1. Какие события произойдут при росте предложения товара 1?",1) равновесная цена товара 2 упадет; 2) равновесная цена товара 3 вырастет; 3) равновесное количество товара 2 упадет; 4) равновесное количество товара 3 упадет.,"1), 3), 4)",9
заводы,3,"Две фирмы, производящие один и тот же товар, решили объединиться. Известно, что до слияния функция издержек фирмы 1 задавалась уравнением TC1 (q) = q^2 , фирмы 2 — уравнением TC2 (q) = 6q + 49. Обозначим выпуск объединенной компании за Q. Что из перечисленного верно о функции издержек TC(Q) объединенной фирмы?","1) TC(Q) <= 6Q+ 49 для любого Q>= 0; 2) TC(Q) <= Q^2 для любого Q >= 0;
 3)TC(2) = 52; 4) TC(10) = 100","1), 4)",9
рынки,4,"Изначально спрос на «Лекарство №1» описывался уравнением Qd = 100−p. После начала пандемии в городе прошли слухи, что этот препарат помогает бороться с вирусом нового типа, после чего спрос на данный препарат вырос до Qd = 200 −p, где p –– цена за одну пачку препарата, Q –– дневной объем спроса на препарат (в пачках). Предложение описывается функцией Qs = p, оно не поменялось. Мэрия города стала опасаться, что в сложившейся ситуации лекарство станет недоступно для широких масс населения, в связи с чем запретила повышать цену на препарат по сравнению с равновесной ценой до пандемии. Однако данная мера привела к возникновению дефицита препарата. Чему равен размер этого дефицита в пачках?",---------,100,9
рынки,4,"В городе N располагается единственный театр, зрительный зал которого способен вместить 400 человек. Изначально спрос на театральные представления описывался уравнением Qd = 900 − p, где Q –– количество проданных билетов, p –– цена билета. В условиях пандемии театру разрешили работать только при заполненности зала не более чем на 50 %. Кроме того, в связи с пандемией спрос жителей на театральные представления снизился до Qd = 360 − p. Театр максимизирует выручку. На сколько процентов театру следует снизить цену в условиях пандемии по сравнению с ситуацией до пандемии?",---------,64,9
рынки,4,"В малой открытой экономике спрос и предложение на рынке некоторого товара определяются как Qd = 60 − p и Qs= 0,5p. Мировая цена равна 20 д.е.; кроме того, в стране введена потоварная импортная пошлина в размере 4 д.е. с каждой ввозимой в страну единицы товара. На сколько процентов упадет объем импорта, если импортная пошлина увеличится на 50 %?",---------,12.5,9
рынок труда,4,"Некая фирма использует в производстве только труд. Фирма продает товар на совершенно конкурентном рынке по цене 20; производственная функция фирмы имеет вид Q = L. На рынке труда фирма является монопсонистом. Труд предлагают две группы работников –– мужчины и женщины. Предложение труда мужчин имеет вид Ls = W, а предложение труда женщин –– вид Ls = 8 + W. Изначально фирма назначает разную зарплату для мужчин и женщин. На сколько процентов уменьшится зарплата мужчин, если государство запретит дискриминацию и обяжет платить всем работникам одинаковую зарплату",---------,20,9
кпв,4,"Робинзон и Пятница собирают кокосы (X) и ловят крокодилов (Y). Из них они готовят блюдо Крококосбургер, для приготовления которого требуется 2 кокоса и 1 крокодил (по отдельности блага не потребляются). Известно, что КПВ каждого из островитян линейна, а их суммарная КПВ является ломаной линией, соединяющей точки (0; 120), (80; 80) и (120; 0). При оптимальном разделении труда Робинзон занимается только одним видом деятельности. Сколько Крококосбургеров сможет потребить Робинзон, если все ингредиенты он будет добывать сам?",---------,20,9
гос вмешательство,1,Коэффициент эластичности суммы налоговых сборов по ставке налога может быть отрицательным.,"1) да, 2) нет",1),11
рынки,1,В результате роста стоимости стройматериалов повысятся цены только на жилье,"1) да, 2) нет",2),11
финансы,1,"Будущие выплаты по облигации являются фиксированными, и поэтому облигация –– безрисковый актив.","1) да, 2) нет",2),11
другое,1,"Экономические исследования направлены только на изучение рынков товаров и услуг, денежного обращения и макроэкономической политики государства","1) да, 2) нет",2),11
анализ данных,1,"В развивающихся странах, получающих помощь от международной организации, рост ВВП за последний год составил в среднем 1 %. В развивающихся странах, не получающих такой помощи, рост ВВП составил в среднем 2 % за год. Значит, получение помощи отрицательно сказывается на росте ВВП.","1) да, 2) нет",2),11
ввп и инфляция,2,"Если номинальный ВВП за 10 лет вырос вдвое, покупательная способность денег упала на 40 %, а население страны выросло на 1/9 от своей первоначальной величины, то за 10 лет реальный ВВП на душу населения вырос:",1) на 8 %; 2) на 20 %; 3) на 25 %; 4) на 80 %.,1),11
гос вмешательство,2,"Каково оптимальное, с точки зрения экономической науки, вмешательство государства в рынок вакцин","1) государство не должно вмешиваться в свободное функционирование рынка
 вакцин;
 2) государство должно субсидировать потребление вакцин, так как вакцинация со провождается положительным внешним эффектом;
 3) государство должно обложить налогом потребление вакцин, так как вакцинация
 сопровождается отрицательным внешним эффектом;
 4) государство должно создать монополию на рынке вакцин.",2),11
рынки,2,"Страна Альфа –– малая открытая экономика (мировая цена является для страны
 фиксированной). Функция внутреннего спроса в стране Альфа строго убывает, функ ция внутреннего предложения строго возрастает. В отсутствие вмешательства госу дарства страна Альфа импортирует товар X. Тогда при введении потоварной импорт ной пошлины в стране Альфа:",1) излишек потребителей уменьшится; 2) излишек отечественных производителей увеличится; 3) сумма излишков отечественных потребителей и производителей уменьшится; 4) произойдет все вышеперечисленное.,4),11
рынки,2,"На валютном рынке спрос на иностранную валюту описывается уравнением 𝑄 = 120 − 𝑃, а предложение –– уравнением 𝑄 = 2𝑃, где 𝑃 –– валютный курс (цена иностранной валюты в единицах национальной), 𝑄 –– количество иностранной валюты. Если центральный банк хочет добиться валютного курса 𝑃 = 20, какое количество иностранной валюты он должен выпустить на рынок из своих резервов?",1) 60; 2) 80; 3) 1200; 4) 1600,1),11
финансы,2,"Авдотья взяла кредит в размере 1 тыс. руб. под 4 % в день (сложные проценты). Авдотья забыла о кредите и вспомнила о нем только через 360 дней. Каков долг Авдотьи в момент, когда она вспомнила о нем?","1) менее 20 тыс. руб.; 2) от 20 до 100 тыс. руб.;
 3) от 100 до 1024 тыс. руб; 4) более одного миллиарда руб.",4),11
нобелевская премия,3,За достижения в какой области (областях) была присуждена Нобелевская премия по экономике (Премия Шведского государственного банка по экономическим наукам памяти Альфреда Нобеля) в 2021 году?,1) экономика труда; 2) методы анализа данных; 3) макроэкономика; 4) теория аукционов.,"1), 2)",11
ввп и инфляция,3,"В 2020 году блогер нашел свой чек из магазина 2007 года и снова купил все по списку в тех же количествах. Общая стоимость покупки выросла на 257 %, в то время как по официальным данным инфляция, измеренная с помощью индекса потребительских цен (базовый год 2007), за тот же период составила 156 %. Из этого он сделал вывод, что в официальных данных ошибка. Почему вывод блогера некорректен?","1) Блогер рассчитал индекс Пааше, а официальная инфляция рассчитана через
 индекс Ласпейреса;
 2) Блогер рассчитал индекс Ласпейреса, а официальная инфляция рассчитана через
 индекс Пааше;
 3) Потребительская корзина блогера и потребительская корзина, используемая
 для расчета инфляции, могут отличаться.
 4) Официальная инфляция рассчитывается как рост стоимости всех товаров и услуг,
 а блогер потребляет не все товары и услуги.",3),11
потребительский выбор,3,"Одиннадцатиклассница Марфа получает от родителей фиксированную сумму на занятия в фитнес-клубе. Она хочет заниматься плаванием и тренироваться в тренажерном зале, при этом каждые 2 часа занятий в бассейне она готова обменять на 3 часа занятий в тренажерном зале. Час занятий в бассейне стоит p д. е., а в тренажерном зале –– 1500 д. е., при этом время тренировки может быть нецелым (например, 1,87 часа). При каком/каких из следующих значений p Марфа потратит всю сумму, полученную на фитнес, только на тренировки в бассейне?",1) 900; 2) 1500; 3) 2000; 4) 2500.,"1), 2), 3)",11
неравенство,3,В странах A и B 10 лет назад коэффициенты Джини были строго больше нуля. В стране А за последние 10 лет доход каждого жителя увеличился на 10 %. В стране B за последние 10 лет доход каждого жителя увеличился на 10 ден. ед. Тогда за последние 10 лет:,"1) коэффициент Джини в стране А не изменился;
 2) коэффициент Джини в стране B не изменился;
 3) коэффициент Джини в стране A увеличился;
 4) коэффициент Джини в стране B уменьшился.","1), 4)",11
заводы,3,"Нефтяная компания владеет двумя месторождениями. Чтобы получить q тыс. баррелей нефти на первом месторождении, нужно потратить TC1 (q) = q^5 ден. ед.; чтобы получить q тыс. баррелей нефти на втором месторождении, нужно потратитьTC2 (q) = q^2 ден. ед. Что из перечисленного верно о функции издержек TC(Q) компании, где Q–– суммарная добыча нефти?",1)TC(Q) = TC1(Q) + TC2(Q) для любогоQ>=0; 2)TC(Q) для любого Q >= 0 равно наименьшему из чисел TC1(Q) и TC2(Q); 3))TC(Q) <=(Q/2)^2 + (Q/2)^5 для любогоQ>=0 ; 4) TC(3) <= 5.,"3), 4)",11
безработица,4,"В экономике уровень циклической безработицы составляет 5 %, естественный уровень безработицы равен 3 %, коэффициент Оукена равен 2. Определите величину рецессионного разрыва ВВП (в процентах от потенциального).",---------,10,11
AD AS,4,"В закрытой экономике функция потребления C(Yd) линейна, инвестиции постоянны (являются автономными), а налоги только аккордные. ВВП в краткосрочном периоде ниже потенциального. Для увеличения ВВП до потенциального уровня нужно либо увеличить госзакупки на 30 д. е., либо уменьшить аккордные налоги на 40 д. е. Определите величину рецессионного разрыва ВВП (в д. е.)",---------,120,11
монополия,4,"На монопольном рынке есть две группы потребителей. Функция спроса первой
 группы имеет вид Qd= 100/p^2; функция спроса второй группы описывается уравне нием Qd = a − P, где a> 1 — параметр. Средние издержки производства постоянны
 и равны 1. Изначально ценовая дискриминация (назначение разных цен для двух этих групп) запрещена. При каком значении параметра a> 1 прибыль фирмы монополиста не увеличится, если разрешить ценовую дискриминацию?",---------,3,11
кпв,1,"В настоящий момент в экономике производится 10 единиц товара X; использо вание ресурсов полное и эффективное. Альтернативная стоимость единицы товара X
 постоянна и составляет 0,5 единицы товара Y. Значит, ради производства дополни тельных 4 единиц товара Y придётся отказаться от 8 единиц товара X.","1) да, 2) нет",1),10
другое,1,Все экономические исследования предполагают рациональность агентов.,"1) да, 2) нет",2),10
кпв,1,"Если у страны есть абсолютное преимущество в производстве некоторого блага, она будет экспортировать это благо.","1) да, 2) нет",2),10
рынки,1," потоварный налог в размере t д.е. за каждую произведенную единицу, то монополия увеличит цену по крайней мере на t.
","1) да, 2) нет",2),10
анализ данных,1,"Одно исследование показало, что люди, прошедшие после увольнения программы повышения квалификации, в среднем зарабатывают больше, чем те, кто их не проходил. Из этого можно сделать вывод о том, что прохождение программ повышения квалификации увеличивает зарплату работников","1) да, 2) нет",2),10
нобелевская премия,2,2020 году лауреатами Нобелевской премии по экономике (Премии Шведского государственного банка по экономическим наукам памяти А. Нобеля) стали Пол Милгром и Роберт Уилсон. За какие заслуги была присуждена премия?,1) разработка оптимального дизайна выборов и голосований; 2) оценка многомерной КПВ мира; 3) анализ эффективности мер по борьбе с коррупцией; 4) усовершенствование теории аукционов.,4),10
неравенство,2,"В некоторой стране кривая Лоренца имеет вид у = х^3 . Каково соотношение доходов беднейшей трети, «средней» трети, и богатейшей трети населения?",1) 1:7:19; 2) 1:8:27; 3) 1:7:100; 4) 1:8:100.,1),10
безработица,2,"Население страны составляет 100 тыс. чел. Численность трудоспособного населения равна 80 тыс. чел., а количество безработных — 5 тыс. чел. Тогда уровень безработицы равен:
","1) 5 %; 2) 6,25 %; 3) 20 %;
4) недостаточно информации для ответа.",4),10
ввп и инфляция,2,"В одной стране уровень инфляции каждый год составляет 200 %. Пусть p(t) –– уровень цен в конце года t, год t = 0 принят базовым. Тогда:","1)p(t)= 2^p; 2)p(t)= 3^t
 ; 3p(t)= 2t; 4)p(t)= 3t",2),10
издержки,2,редельные издержки некой фирмы задаются уравнением MC = 2Q; выпуск фирмы может быть только целым числом. Чему равна величина AVC(2020) –– средние переменные издержки при производстве 2020 единиц товара?,1) 2019; 2) 2020; 3) 2021; 4) 4040.,3),10
финансы,3,Что не является производным финансовым инструментом (деривативом),1) опцион; 2) форвард; 3) фьючерс; 4) государственная облигация,4),10
совершенная конкуренция,3,Рассмотрим совершенно конкурентный рынок с функциями спроса и предложения соответственно Qd = 90 − P и Qs= P/2. На рынке вводится потоварный налог на производителей по ставке t (0; 90). Что из перечисленного верно?,"1) Равновесный выпуск сократится;
 2) При ставке налога t< 45 выпуск сократится менее чем в два раза;
 3) Налоговое бремя потребителей будет меньше бремени производителей;
 4) Расходы потребителей могут увеличиться.","1), 2), 3)",10
кпв,3,"Какой вид может иметь КПВ страны, если в случае выхода на мировой рынок в качестве малой открытой экономики ее КТВ (кривая торговых возможностей) определяется как у= 40 − 2х? Считайте, что международная торговля абсолютно свободна, т.е. происходит без таможенных пошлин, издержек на транспортировку и т.д.",1) у = 48 - 4х; 2) y = 40 - 4x; 3) y = 20 - x; 4) y= 16 - x,"2), 3)",10
рынки,3,"Облигации фирм А и B имеют одинаковый положительный номинал; облигация
фирмы А имеет срок погашения через год, фирмы B –– через 2 года от данного момента. Облигация фирмы B также предусматривает выплату купонного дохода в размере
10 % от номинала в конце каждого из двух годов. Ставка дисконтирования (в долях)
равна r. Обозначим за Pa и Pb цены этих облигаций. Что из перечисленного верно","1) Pa < Pb, так как сумма выплат по облигации b больше;
2) Pa > Pb при достаточно высоких значениях r;
3) Если r > 0,2, то Pa > Pb;
4) Если Pa > Pb, то r > 0,2.
","2), 4)",10
заводы,3,"Две фирмы, производящие один и тот же товар, решили объединиться. Известно, что до слияния функция издержек фирмы 1 задавалась уравнением TC1 (q) = q^2 , фирмы 2 — уравнением TC2 (q) = 6q + 49, если Q > 0 и 0 иначе. Обозначим выпуск объединенной компании за Q. Что из перечисленного верно о функции издержек TC(Q) объединенной фирмы?","1) TC(Q) <= Q^2 для любого Q>= 0; 2) TC(5) = 70;
 3)TC(20) = 160; 4) TC(Q) <= 10Q для любого Q>= 0","1), 3), 4)",10
рынки,4,"Изначально спрос на «Лекарство №1» описывался уравнением Qd = 100−p. После начала пандемии в городе прошли слухи, что этот препарат помогает бороться с вирусом нового типа, после чего спрос на данный препарат вырос до Qd = 200 −p, где p –– цена за одну пачку препарата, Q –– дневной объем спроса на препарат (в пачках). Предложение описывается функцией Qs = p, оно не поменялось. Мэрия города стала опасаться, что в сложившейся ситуации лекарство станет недоступно для широких масс населения, в связи с чем запретила повышать цену на препарат по сравнению с равновесной ценой до пандемии. Однако данная мера привела к возникновению дефицита препарата. Чему равен размер этого дефицита в пачках?",---------,100,10
